[2020-06-17T13:52:23.775965-03:00] name.WARNING: Foo [] []
[2020-06-17T13:52:23.776363-03:00] name.ERROR: Bar [] []
[2020-06-17T13:53:49.208469-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.208874-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.741694-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.741941-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:53:49.893901-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-17T13:53:49.894361-03:00] App_bytecell.ERROR: Bar [] []
[2020-06-17T13:54:09.791720-03:00] App_bytecell.WARNING: Foo [] []
[2020-06-19T03:19:03.646847-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T12:08:39.039531-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-19T14:13:04.885751-03:00] App_bytecell.INFO: listo el contenido de Detalle [] []
[2020-06-19T14:17:01.413900-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-19T14:17:01.550769-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-19T14:19:10.005257-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.149616-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.385871-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T14:19:11.565300-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T15:12:13.619262-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-19T15:12:27.477275-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T15:12:39.997032-03:00] App_bytecell.INFO: listo el contenido de Detalle [] []
[2020-06-19T16:17:16.060130-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:17:44.029538-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:28:00.221206-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:28:05.565205-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:29:27.969355-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-19T16:29:30.971444-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-19T16:29:31.435259-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:06:27.007995-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-20T21:06:40.205376-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:06:41.058434-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-20T21:07:16.957222-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-20T21:07:17.079806-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-20T23:00:41.457849-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T00:21:00.795170-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T00:21:02.137846-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T00:21:05.225765-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T00:21:09.420511-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T00:22:29.058378-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-21T00:22:36.508555-03:00] App_bytecell.INFO: listo el contenido de Venta [] []
[2020-06-21T00:22:54.981416-03:00] App_bytecell.INFO: listo el contenido de Producto_has_Categoria [] []
[2020-06-21T00:23:15.154547-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-21T00:23:25.553864-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T00:23:26.214884-03:00] App_bytecell.INFO: listo el contenido de Producto [] []
[2020-06-21T00:25:06.799040-03:00] App_bytecell.INFO: listo el contenido de Categoria [] []
[2020-06-21T00:25:07.560407-03:00] App_bytecell.INFO: listo el contenido de Producto_has_Categoria [] []
[2020-06-21T10:18:09.588371-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T10:18:09.724200-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T10:55:28.173317-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T10:55:33.388345-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:46:56.764754-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:46:59.043917-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:47:31.276961-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:47:35.151312-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T11:47:35.490866-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T11:47:37.993315-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:47:38.884880-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:48:02.987213-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:48:04.861909-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:48:05.468926-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:48:05.692609-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T11:48:06.309691-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T15:52:33.726604-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T15:53:58.735987-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T15:54:16.243142-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:36:44.006691-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:37:33.433850-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:37:34.715466-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:44.705248-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:45.161191-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:45.361602-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:45.551612-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:45.834054-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:45.985062-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:38:46.206346-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:27.797416-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:28.218236-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:28.411964-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:28.562960-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:28.734107-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:28.925120-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:29.086125-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:29.283945-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:29.439149-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:29.642721-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:29.967863-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:47:30.399134-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:48:41.633722-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:38.638968-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:39.135014-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:39.346011-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:39.487193-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:39.681755-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:39.833466-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:40.000175-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:40.177974-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:40.356473-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:40.586397-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:40.808839-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:41.047987-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:41.238218-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:49:41.527935-03:00] App_bytecell.INFO: listo el contenido de Persona [] []
[2020-06-21T16:50:07.225603-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:50:07.422474-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:20.281540-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:20.502436-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:21.100406-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:21.285261-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:21.439229-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:45.771370-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:46.541281-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:46.789130-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:47.018533-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:47.194735-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:51:47.364826-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:04.062237-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:04.567658-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:04.759757-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:04.946314-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:05.107048-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:05.449915-03:00] App_bytecell.INFO: listo el contenido de user [] []
[2020-06-21T16:52:05.642794-03:00] App_bytecell.INFO: listo el contenido de user [] []
